ptr 4 4
layout.8 16 16 16
layout.1 16 16 16
layout.9 16 16 16
layout.10 16 16 16
zero 1 0 0
free.null 2 0 0
split 80 48 0
exact 1 0 0
coalesce 0 160 32
realloc.grow 0 1 0
realloc.shrink 1 1 0
realloc.tail 1 0 0
realloc.zero 1 0 0
realloc.null 1 0 0
calloc 1 1 0
toobig 0 0 0
calloc.overflow 1 0 0
heapcheck 2 4 3
heapwalk 6 1 5
far.clean 1 1008 0
far.clean.walk 6 5 5
far.two 2016 1008 0
far.two.walk 5 0 5
far.reuse 1 1008 4
far.gap 1 4 0
far.walk0 0 528 1
far.walk1 33 528 1
far.walk2 66 528 1
far.walk3 99 32 1
far.walk4 101 32 1
far.walk5 103 1008 1
far.walk6 166 1008 1
far.walk 7 5 2
coreleft 1 1 1
coreleft.grain 0 0 0
